ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19588,MATH,3310,301,Discussion,"0","Ben Hilbert","Mo 5:00pm - 5:50pm","","Basic Real Analysis","",Closed,20,20,0
11229,MATH,3340,001,Lecture,"3","Andrei Rapinchuk","TuTh 9:30am - 10:45am","","Complex Variables with Applications","",Open,33,35,0
11596,MATH,3350,001,Lecture,"3","Jeffrey Holt","TuTh 3:30pm - 4:45pm","","Applied Linear Algebra","",Closed,45,45,0
11731,MATH,3350,002,Lecture,"3","Jeffrey Holt","TuTh 5:00pm - 6:15pm","","Applied Linear Algebra","",Open,38,45,0
10251,MATH,3351,001,Lecture,"3","Sarah Blackwell","MoWeFr 10:00am - 10:50am","","Elementary Linear Algebra","",Open,35,36,0
19585,MATH,3351,003,Lecture,"3","Tai Melcher","TuTh 2:00pm - 3:15pm","","Elementary Linear Algebra","",Closed,37,36,0
10252,MATH,3354,001,Lecture,"3","Evangelia Gazaki","MoWe 3:30pm - 4:45pm","","Survey of Algebra","",Closed,35,35,0
11851,MATH,3354,002,Lecture,"3","Oliver Wang","TuTh 11:00am - 12:15pm","","Survey of Algebra","",Open,28,35,0
19586,MATH,3354,003,Lecture,"3","Bakhyt Aitzhanova","TuTh 2:00pm - 3:15pm","","Survey of Algebra","",Open,25,28,0
10253,MATH,4040,001,Lecture,"3","Peter Abramenko","MoWeFr 12:00pm - 12:50pm","","Discrete Mathematics","",Open,18,30,0
11328,MATH,4110,001,Lecture,"3","Tai Melcher","TuTh 12:30pm - 1:45pm","","Introduction to Stochastic Processes","",Open,32,36,0
11377,MATH,4140,001,Lecture,"3","Christian Gromoll","MoWe 2:00pm - 3:15pm","","Mathematics of Derivative Securities","",Open,16,35,0
11597,MATH,4220,001,Lecture,"3","Juraj Foldes","TuTh 9:30am - 10:45am","","Partial Differential Equations and Applied Mathematics","",Open,42,45,0
11329,MATH,4310,001,Lecture,"3","Mikhail Ershov","MoWe 3:30pm - 4:45pm","","Introduction to Real Analysis","",Open,28,32,0
20141,MATH,4559,001,Lecture,"3","Christian Reidys","TuTh 2:00pm - 3:15pm","","New Course in Mathematics","Intro to Sequence Analysis",Open,13,25,0
10254,MATH,4651,001,Lecture,"3","Ryan Stees","TuTh 3:30pm - 4:45pm","","Advanced Linear Algebra","",Open,19,35,0
19591,MATH,4720,001,Lecture,"3","Slava Krushkal","TuTh 12:30pm - 1:45pm","","Introduction to Differential Geometry","",Open,12,20,0
11463,MATH,4770,001,Lecture,"3","Thomas Koberda","TuTh 11:00am - 12:15pm","","General Topology","",Open,10,20,0
11943,MATH,4900,001,IND,"3","Peter Christopher Leslie Humphries","TBA","","Distinguished Major Thesis","",Open,1,2,0
12006,MATH,4900,002,IND,"3","J.D. Quigley","TBA","","Distinguished Major Thesis","",Open,1,2,0
14294,MATH,4900,003,IND,"3","To Be Announced","TBA","","Distinguished Major Thesis","",Open,0,6,0
14295,MATH,4900,004,IND,"3","To Be Announced","TBA","","Distinguished Major Thesis","",Open,0,6,0
14296,MATH,4900,005,IND,"3","To Be Announced","TBA","","Distinguished Major Thesis","",Open,0,6,0
14297,MATH,4900,006,IND,"3","To Be Announced","TBA","","Distinguished Major Thesis","",Open,0,6,0
12077,MATH,4993,001,IND,"1 - 3","Evangelia Gazaki","TBA","","Independent Study","",Open,0,30,0
12498,MATH,4993,002,IND,"1 - 3","Benjamin Hayes","TBA","","Independent Study","",Open,1,30,0
12499,MATH,4993,003,IND,"1 - 3","Juraj Foldes","TBA","","Independent Study","",Open,2,30,0
12534,MATH,4993,004,IND,"1 - 3","Sara Maloni","TBA","","Independent Study","",Open,0,30,0
12538,MATH,4993,005,IND,"1 - 3","Thomas Mark","TBA","","Independent Study","",Open,0,30,0
12539,MATH,4993,006,IND,"1 - 3","Thomas Koberda","TBA","","Independent Study","",Open,1,30,0
12862,MATH,4993,007,IND,"1 - 3","You Qi","TBA","","Independent Study","",Open,8,30,0
12886,MATH,4993,008,IND,"1 - 3","Peter Christopher Leslie Humphries","TBA","","Independent Study","",Open,0,30,0
12949,MATH,4993,009,IND,"1 - 3","Daniel James","TBA","","Independent Study","",Open,0,30,0
13417,MATH,4993,010,IND,"1 - 3","Ken Ono","TBA","","Independent Study","",Open,0,30,0
14258,MATH,4993,011,IND,"1 - 3","J.D. Quigley","TBA","","Independent Study","",Open,12,30,0
21574,MATH,4993,012,IND,"1 - 3","Abdelmalek Abdesselam","TBA","","Independent Study","",Open,1,30,0
21671,MATH,4993,013,IND,"1 - 3","Joshua Turner","TBA","","Independent Study","",Open,1,30,0
20292,MATH,5653,001,Lecture,"3","Pavel Coupek","MoWe 2:00pm - 3:15pm","","Number Theory","",Open,11,25,0
12950,MATH,5896,001,IND,"3","Juraj Foldes","TBA","","Supervised Study in Mathematics","",Open,2,30,0
14350,MATH,5896,002,IND,"3","Peter Christopher Leslie Humphries","TBA","","Supervised Study in Mathematics","",Open,0,30,0
21321,MATH,5896,003,IND,"3","Tai Melcher","TBA","","Supervised Study in Mathematics","",Open,1,30,0
10467,MATH,7000,001,Lecture,"1 - 3","Brianna Kurtz","MoWe 12:30pm - 1:45pm","","Seminar on College Teaching","",Open,14,15,0
11163,MATH,7340,001,Lecture,"3","Peter Christopher Leslie Humphries","TuTh 2:00pm - 3:15pm","","Complex Analysis I","",Open,13,18,0
12731,MATH,7410,001,Lecture,"3","Yen Do","TuTh 12:30pm - 1:45pm","","Functional Analysis I","",Open,5,12,0
10255,MATH,7751,001,Lecture,"3","Evangelia Gazaki","MoWe 2:00pm - 3:15pm","","Algebra I","",Open,17,18,0
10256,MATH,7810,001,Lecture,"3","Julie Bergner","MoWeFr 11:00am - 11:50am","","Algebraic Topology II","",Open,7,12,0
10927,MATH,7820,001,Lecture,"3","Thomas Koberda","TuTh 9:30am - 10:45am","","Differential Topology","",Open,15,18,0
19692,MATH,7840,001,Lecture,"3","J.D. Quigley","MoWe 3:30pm - 4:45pm","","Homotopy Theory","",Open,8,12,0
19689,MATH,8250,001,Lecture,"3","Aseel Farhat","MoWeFr 12:00pm - 12:50pm","","Partial Differential Equations","",Open,2,12,0
19690,MATH,8320,001,Lecture,"3","Benjamin Hayes","TuTh 2:00pm - 3:15pm","","Operator Theory I, II","",Open,10,12,0
